,GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,SEX,Display Value,Numeric,Low,High,Comments
285,SA_0000001807,PUBLISHED,2016,EUR,BIH,MLE,207.5,,,,
286,SA_0000001807,PUBLISHED,2016,EUR,FIN,MLE,162.1,,,,
287,SA_0000001807,PUBLISHED,2016,EUR,IRL,MLE,187.3,,,,
288,SA_0000001807,PUBLISHED,2016,EUR,LUX,MLE,188.9,,,,
289,SA_0000001807,PUBLISHED,2016,EUR,NLD,MLE,216.8,,,,
290,SA_0000001807,PUBLISHED,2016,EUR,SMR,MLE,No data,,,,
291,SA_0000001807,PUBLISHED,2016,EUR,TJK,MLE,126.6,,,,
292,SA_0000001807,PUBLISHED,2016,EUR,ARM,FMLE,200.1,,,,
293,SA_0000001807,PUBLISHED,2016,EUR,EST,FMLE,137.8,,,,
294,SA_0000001807,PUBLISHED,2016,EUR,ISL,FMLE,149.1,,,,
295,SA_0000001807,PUBLISHED,2016,EUR,LTU,FMLE,134.2,,,,
296,SA_0000001807,PUBLISHED,2016,EUR,RUS,FMLE,153.1,,,,
297,SA_0000001807,PUBLISHED,2016,EUR,CHE,FMLE,112.7,,,,
298,SA_0000001807,PUBLISHED,2016,EUR,UZB,FMLE,74.2,,,,
299,SA_0000001807,PUBLISHED,2016,EUR,LVA,MLE,292.2,,,,
300,SA_0000001807,PUBLISHED,2016,EUR,ALB,FMLE,138.2,,,,
301,SA_0000001807,PUBLISHED,2016,EUR,FRA,FMLE,126.1,,,,
302,SA_0000001807,PUBLISHED,2016,EUR,DEU,FMLE,131,,,,
303,SA_0000001807,PUBLISHED,2016,EUR,NLD,FMLE,157.3,,,,
304,SA_0000001807,PUBLISHED,2016,EUR,POL,FMLE,156.4,,,,
305,SA_0000001807,PUBLISHED,2016,EUR,TKM,FMLE,116.5,,,,
306,SA_0000001807,PUBLISHED,2016,EUR,GBR,FMLE,143.1,,,,
307,SA_0000001807,PUBLISHED,2016,EUR,SVK,MLE,305.9,,,,
308,SA_0000001807,PUBLISHED,2016,EUR,ESP,MLE,200.7,,,,
309,SA_0000001807,PUBLISHED,2016,EUR,HRV,MLE,297.2,,,,
310,SA_0000001807,PUBLISHED,2016,EUR,CZE,MLE,229.4,,,,
311,SA_0000001807,PUBLISHED,2016,EUR,KAZ,MLE,277.9,,,,
312,SA_0000001807,PUBLISHED,2016,SEAR,THA,MLE,176.2,,,,
313,SA_0000001807,PUBLISHED,2016,SEAR,BTN,FMLE,105.9,,,,
314,SA_0000001807,PUBLISHED,2016,SEAR,LKA,FMLE,99.1,,,,
315,SA_0000001807,PUBLISHED,2016,SEAR,PRK,MLE,245.2,,,,
316,SA_0000001807,PUBLISHED,2016,SEAR,MMR,MLE,212,,,,
317,SA_0000001807,PUBLISHED,2016,SEAR,LKA,MLE,135.4,,,,
318,SA_0000001807,PUBLISHED,2016,SEAR,BGD,MLE,127.7,,,,
319,SA_0000001807,PUBLISHED,2016,SEAR,IND,FMLE,95.3,,,,
320,SA_0000001807,PUBLISHED,2016,SEAR,MMR,FMLE,138.6,,,,
321,SA_0000001807,PUBLISHED,2016,SEAR,TLS,MLE,215.1,,,,
322,SA_0000001807,PUBLISHED,2016,SEAR,IDN,FMLE,126.4,,,,
323,SA_0000001807,PUBLISHED,2016,SEAR,MDV,FMLE,96.2,,,,
324,SA_0000001807,PUBLISHED,2016,SEAR,BGD,FMLE,97.6,,,,
325,SA_0000001807,PUBLISHED,2016,SEAR,PRK,FMLE,159.1,,,,
326,SA_0000001807,PUBLISHED,2016,SEAR,NPL,FMLE,105,,,,
327,SA_0000001807,PUBLISHED,2016,SEAR,THA,FMLE,106.6,,,,
328,SA_0000001807,PUBLISHED,2016,SEAR,BTN,MLE,118.1,,,,
329,SA_0000001807,PUBLISHED,2016,SEAR,IND,MLE,107.2,,,,
