,GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,AGEGROUP,SEX,Display Value,Numeric,Low,High,Comments
4658,BP_06,PUBLISHED,2005,SEAR,NPL,YEARS18-PLUS,FMLE,122.8 [118.6-127.0],122.8,118.6,127.0,
4659,BP_06,PUBLISHED,2013,WPR,NZL,YEARS18-PLUS,FMLE,117.4 [113.3-121.6],117.4,113.3,121.6,
4660,BP_06,PUBLISHED,2000,AFR,NER,YEARS18-PLUS,FMLE,131.6 [126.3-136.8],131.6,126.3,136.8,
4661,BP_06,PUBLISHED,2002,AFR,NGA,YEARS18-PLUS,FMLE,126.4 [123.0-129.9],126.4,123.0,129.9,
4662,BP_06,PUBLISHED,1975,WPR,NIU,YEARS18-PLUS,FMLE,122.7 [113.2-132.3],122.7,113.2,132.3,
4663,BP_06,PUBLISHED,2003,EMR,OMN,YEARS18-PLUS,FMLE,126.1 [122.6-129.6],126.1,122.6,129.6,
4664,BP_06,PUBLISHED,2013,AMR,PAN,YEARS18-PLUS,FMLE,121.7 [115.9-127.4],121.7,115.9,127.4,
4665,BP_06,PUBLISHED,1976,AMR,PRY,YEARS18-PLUS,FMLE,122.8 [112.3-133.3],122.8,112.3,133.3,
4666,BP_06,PUBLISHED,1983,AMR,PRY,YEARS18-PLUS,FMLE,122.6 [114.7-130.7],122.6,114.7,130.7,
4667,BP_06,PUBLISHED,1990,AMR,PER,YEARS18-PLUS,FMLE,119.3 [113.3-125.3],119.3,113.3,125.3,
4668,BP_06,PUBLISHED,1976,EUR,POL,YEARS18-PLUS,FMLE,132.5 [125.3-139.6],132.5,125.3,139.6,
4669,BP_06,PUBLISHED,1992,EUR,PRT,YEARS18-PLUS,FMLE,128.7 [124.3-133.1],128.7,124.3,133.1,
4670,BP_06,PUBLISHED,2013,EUR,ROU,YEARS18-PLUS,FMLE,126.1 [119.7-132.9],126.1,119.7,132.9,
4671,BP_06,PUBLISHED,2003,EUR,RUS,YEARS18-PLUS,FMLE,126.6 [123.7-129.5],126.6,123.7,129.5,
